        latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
            1          18        1024     89.731149
            2          25        1024     89.382874
            3          32        1024     89.032542
            4          40        1024     88.681746
            5          45        1024     88.330774
            6          50        1024     87.979716
            7          60        1024     87.628611
            8          64        1024     87.277476
            9          72        1024     86.926322
           10          72        1024     86.575154
           11          75        1024     86.223977
           12          81        1024     85.872793
           13          90        1024     85.521603
           14          96        1024     85.170409
           15         100        1024     84.819212
           16         108        1024     84.468011
           17         120        1024     84.116809
           18         120        1024     83.765604
           19         125        1024     83.414398
           20         135        1024     83.063191
           21         144        1024     82.711982
           22         150        1024     82.360772
           23         160        1024     82.009562
           24         160        1024     81.658351
           25         180        1024     81.307139
           26         180        1024     80.955926
           27         180        1024     80.604713
           28         192        1024     80.253500
           29         192        1024     79.902286
           30         200        1024     79.551072
           31         216        1024     79.199857
           32         216        1024     78.848642
           33         216        1024     78.497427
           34         225        1024     78.146212
           35         240        1024     77.794996
           36         240        1024     77.443780
           37         243        1024     77.092564
           38         250        1024     76.741348
           39         256        1024     76.390131
           40         270        1024     76.038915
           41         270        1024     75.687698
           42         288        1024     75.336481
           43         288        1024     74.985264
           44         288        1024     74.634047
           45         300        1024     74.282830
           46         300        1024     73.931613
           47         320        1024     73.580395
           48         320        1024     73.229178
           49         320        1024     72.877960
           50         324        1024     72.526743
           51         360        1024     72.175525
           52         360        1024     71.824307
           53         360        1024     71.473089
           54         360        1024     71.121871
           55         360        1024     70.770654
           56         360        1024     70.419436
           57         375        1024     70.068217
           58         375        1024     69.716999
           59         384        1024     69.365781
           60         384        1024     69.014563
           61         400        1024     68.663345
           62         400        1024     68.312127
           63         400        1024     67.960908
           64         432        1024     67.609690
           65         432        1024     67.258472
           66         432        1024     66.907253
           67         432        1024     66.556035
           68         432        1024     66.204816
           69         450        1024     65.853598
           70         450        1024     65.502379
           71         450        1024     65.151161
           72         480        1024     64.799942
           73         480        1024     64.448723
           74         480        1024     64.097505
           75         480        1024     63.746286
           76         480        1024     63.395068
           77         486        1024     63.043849
           78         500        1024     62.692630
           79         500        1024     62.341411
           80         500        1024     61.990193
           81         512        1024     61.638974
           82         512        1024     61.287755
           83         540        1024     60.936536
           84         540        1024     60.585317
           85         540        1024     60.234099
           86         540        1024     59.882880
           87         540        1024     59.531661
           88         576        1024     59.180442
           89         576        1024     58.829223
           90         576        1024     58.478004
           91         576        1024     58.126785
           92         576        1024     57.775566
           93         576        1024     57.424348
           94         600        1024     57.073129
           95         600        1024     56.721910
           96         600        1024     56.370691
           97         600        1024     56.019472
           98         600        1024     55.668253
           99         640        1024     55.317034
          100         640        1024     54.965815
          101         640        1024     54.614596
          102         640        1024     54.263377
          103         640        1024     53.912158
          104         640        1024     53.560939
          105         640        1024     53.209720
          106         640        1024     52.858501
