latitude reduced regular latitude 
number points points 
 ------- ------- ------- ---------- 
1 20 384 89.284228 
2 24 384 88.357004 
3 28 384 87.424304 
4 32 384 86.490367 
5 36 384 85.555960 
6 40 384 84.621327 
7 44 384 83.686567 
8 48 384 82.751728 
9 52 384 81.816839 
10 56 384 80.881913 
11 60 384 79.946962 
12 64 384 79.011992 
13 68 384 78.077007 
14 72 384 77.142011 
15 76 384 76.207005 
16 80 384 75.271992 
17 84 384 74.336973 
18 88 384 73.401949 
19 92 384 72.466921 
20 96 384 71.531889 
21 100 384 70.596854 
22 104 384 69.661816 
23 108 384 68.726776 
24 112 384 67.791734 
25 116 384 66.856691 
26 120 384 65.921645 
27 124 384 64.986599 
28 128 384 64.051551 
29 132 384 63.116502 
30 136 384 62.181452 
31 140 384 61.246401 
32 144 384 60.311349 
33 148 384 59.376297 
34 152 384 58.441244 
35 156 384 57.506190 
36 160 384 56.571136 
37 164 384 55.636081 
38 168 384 54.701026 
39 172 384 53.765970 
40 176 384 52.830914 
41 180 384 51.895857 
42 184 384 50.960801 
43 188 384 50.025743 
44 192 384 49.090686 
45 196 384 48.155628 
46 200 384 47.220570 
47 204 384 46.285512 
48 208 384 45.350454 
49 212 384 44.415395 
50 216 384 43.480336 
51 220 384 42.545277 
52 224 384 41.610218 
53 228 384 40.675159 
54 232 384 39.740099 
55 236 384 38.805039 
56 240 384 37.869980 
57 244 384 36.934920 
58 248 384 35.999860 
59 252 384 35.064799 
60 256 384 34.129739 
61 260 384 33.194679 
62 264 384 32.259618 
63 268 384 31.324558 
64 272 384 30.389497 
65 276 384 29.454436 
66 280 384 28.519375 
67 284 384 27.584315 
68 288 384 26.649254 
69 292 384 25.714193 
70 296 384 24.779132 
71 300 384 23.844070 
72 304 384 22.909009 
73 308 384 21.973948 
74 312 384 21.038887 
75 316 384 20.103825 
76 320 384 19.168764 
77 324 384 18.233703 
78 328 384 17.298641 
79 332 384 16.363580 
80 336 384 15.428518 
81 340 384 14.493457 
82 344 384 13.558395 
83 348 384 12.623333 
84 352 384 11.688272 
85 356 384 10.753210 
86 360 384 9.818148 
87 364 384 8.883087 
88 368 384 7.948025 
89 372 384 7.012963 
90 376 384 6.077901 
91 380 384 5.142840 
92 384 384 4.207778 
93 388 384 3.272716 
94 392 384 2.337654 
95 396 384 1.402593 
96 400 384 0.467531 
97 400 384 -0.467531 
98 396 384 -1.402593 
99 392 384 -2.337654 
100 388 384 -3.272716 
101 384 384 -4.207778 
102 380 384 -5.142840 
103 376 384 -6.077901 
104 372 384 -7.012963 
105 368 384 -7.948025 
106 364 384 -8.883087 
107 360 384 -9.818148 
108 356 384 -10.753210 
109 352 384 -11.688272 
110 348 384 -12.623333 
111 344 384 -13.558395 
112 340 384 -14.493457 
113 336 384 -15.428518 
114 332 384 -16.363580 
115 328 384 -17.298641 
116 324 384 -18.233703 
117 320 384 -19.168764 
118 316 384 -20.103825 
119 312 384 -21.038887 
120 308 384 -21.973948 
121 304 384 -22.909009 
122 300 384 -23.844070 
123 296 384 -24.779132 
124 292 384 -25.714193 
125 288 384 -26.649254 
126 284 384 -27.584315 
127 280 384 -28.519375 
128 276 384 -29.454436 
129 272 384 -30.389497 
130 268 384 -31.324558 
131 264 384 -32.259618 
132 260 384 -33.194679 
133 256 384 -34.129739 
134 252 384 -35.064799 
135 248 384 -35.999860 
136 244 384 -36.934920 
137 240 384 -37.869980 
138 236 384 -38.805039 
139 232 384 -39.740099 
140 228 384 -40.675159 
141 224 384 -41.610218 
142 220 384 -42.545277 
143 216 384 -43.480336 
144 212 384 -44.415395 
145 208 384 -45.350454 
146 204 384 -46.285512 
147 200 384 -47.220570 
148 196 384 -48.155628 
149 192 384 -49.090686 
150 188 384 -50.025743 
151 184 384 -50.960801 
152 180 384 -51.895857 
153 176 384 -52.830914 
154 172 384 -53.765970 
155 168 384 -54.701026 
156 164 384 -55.636081 
157 160 384 -56.571136 
158 156 384 -57.506190 
159 152 384 -58.441244 
160 148 384 -59.376297 
161 144 384 -60.311349 
162 140 384 -61.246401 
163 136 384 -62.181452 
164 132 384 -63.116502 
165 128 384 -64.051551 
166 124 384 -64.986599 
167 120 384 -65.921645 
168 116 384 -66.856691 
169 112 384 -67.791734 
170 108 384 -68.726776 
171 104 384 -69.661816 
172 100 384 -70.596854 
173 96 384 -71.531889 
174 92 384 -72.466921 
175 88 384 -73.401949 
176 84 384 -74.336973 
177 80 384 -75.271992 
178 76 384 -76.207005 
179 72 384 -77.142011 
180 68 384 -78.077007 
181 64 384 -79.011992 
182 60 384 -79.946962 
183 56 384 -80.881913 
184 52 384 -81.816839 
185 48 384 -82.751728 
186 44 384 -83.686567 
187 40 384 -84.621327 
188 36 384 -85.555960 
189 32 384 -86.490367 
190 28 384 -87.424304 
191 24 384 -88.357004 
192 20 384 -89.284228 
