        latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
            1          18         640     89.570090
            2          25         640     89.013176
            3          36         640     88.452974
            4          40         640     87.892028
            5          45         640     87.330801
            6          50         640     86.769438
            7          60         640     86.207998
            8          64         640     85.646511
            9          72         640     85.084993
           10          72         640     84.523454
           11          80         640     83.961900
           12          90         640     83.400334
           13          90         640     82.838759
           14          96         640     82.277177
           15         108         640     81.715590
           16         120         640     81.153998
           17         120         640     80.592403
           18         125         640     80.030805
           19         128         640     79.469204
           20         135         640     78.907601
           21         144         640     78.345996
           22         150         640     77.784389
           23         160         640     77.222782
           24         160         640     76.661172
           25         180         640     76.099562
           26         180         640     75.537951
           27         180         640     74.976339
           28         192         640     74.414727
           29         192         640     73.853113
           30         200         640     73.291499
           31         216         640     72.729885
           32         216         640     72.168270
           33         225         640     71.606655
           34         225         640     71.045039
           35         240         640     70.483423
           36         240         640     69.921806
           37         243         640     69.360189
           38         250         640     68.798572
           39         256         640     68.236955
           40         270         640     67.675337
           41         270         640     67.113719
           42         288         640     66.552101
           43         288         640     65.990483
           44         288         640     65.428865
           45         300         640     64.867246
           46         300         640     64.305627
           47         320         640     63.744008
           48         320         640     63.182389
           49         320         640     62.620770
           50         320         640     62.059151
           51         324         640     61.497532
           52         360         640     60.935912
           53         360         640     60.374292
           54         360         640     59.812673
           55         360         640     59.251053
           56         360         640     58.689433
           57         360         640     58.127813
           58         375         640     57.566193
           59         375         640     57.004573
           60         375         640     56.442953
           61         384         640     55.881332
           62         384         640     55.319712
           63         400         640     54.758092
           64         400         640     54.196471
           65         400         640     53.634851
           66         405         640     53.073230
           67         432         640     52.511610
           68         432         640     51.949989
           69         432         640     51.388368
           70         432         640     50.826748
           71         432         640     50.265127
           72         450         640     49.703506
           73         450         640     49.141885
           74         450         640     48.580264
           75         450         640     48.018643
           76         480         640     47.457022
           77         480         640     46.895401
           78         480         640     46.333780
           79         480         640     45.772159
           80         480         640     45.210538
           81         480         640     44.648917
           82         480         640     44.087296
           83         500         640     43.525675
           84         500         640     42.964054
           85         500         640     42.402432
           86         500         640     41.840811
           87         500         640     41.279190
           88         512         640     40.717569
           89         512         640     40.155947
           90         540         640     39.594326
           91         540         640     39.032705
           92         540         640     38.471083
           93         540         640     37.909462
           94         540         640     37.347841
           95         540         640     36.786219
           96         540         640     36.224598
           97         540         640     35.662976
           98         576         640     35.101355
           99         576         640     34.539734
          100         576         640     33.978112
          101         576         640     33.416491
          102         576         640     32.854869
          103         576         640     32.293248
          104         576         640     31.731626
          105         576         640     31.170005
          106         576         640     30.608383
          107         576         640     30.046762
          108         600         640     29.485140
          109         600         640     28.923518
          110         600         640     28.361897
          111         600         640     27.800275
          112         600         640     27.238654
          113         600         640     26.677032
          114         600         640     26.115410
          115         600         640     25.553789
