latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
            1          18         512     89.462822
            2          25         512     88.766951
            3          36         512     88.066972
            4          40         512     87.366063
            5          45         512     86.664803
            6          50         512     85.963372
            7          60         512     85.261846
            8          64         512     84.560261
            9          72         512     83.858638
           10          72         512     83.156988
           11          80         512     82.455319
           12          90         512     81.753635
           13          90         512     81.051940
           14         100         512     80.350237
           15         108         512     79.648527
           16         120         512     78.946811
           17         120         512     78.245091
           18         125         512     77.543367
           19         128         512     76.841640
           20         144         512     76.139910
           21         144         512     75.438177
           22         150         512     74.736443
           23         160         512     74.034707
           24         160         512     73.332970
           25         180         512     72.631231
           26         180         512     71.929491
           27         180         512     71.227750
           28         192         512     70.526008
           29         192         512     69.824265
           30         200         512     69.122522
           31         216         512     68.420777
           32         216         512     67.719033
           33         216         512     67.017287
           34         225         512     66.315541
           35         240         512     65.613795
           36         240         512     64.912048
           37         240         512     64.210301
           38         250         512     63.508554
           39         250         512     62.806806
           40         256         512     62.105058
           41         270         512     61.403309
           42         270         512     60.701560
           43         288         512     59.999811
           44         288         512     59.298062
           45         288         512     58.596313
           46         300         512     57.894563
           47         300         512     57.192814
           48         320         512     56.491064
           49         320         512     55.789314
           50         320         512     55.087563
           51         320         512     54.385813
           52         324         512     53.684062
           53         360         512     52.982312
           54         360         512     52.280561
           55         360         512     51.578810
           56         360         512     50.877059
           57         360         512     50.175308
           58         360         512     49.473557
           59         360         512     48.771806
           60         375         512     48.070054
           61         375         512     47.368303
           62         375         512     46.666551
           63         375         512     45.964800
           64         384         512     45.263048
           65         384         512     44.561296
           66         400         512     43.859545
           67         400         512     43.157793
           68         400         512     42.456041
           69         400         512     41.754289
           70         405         512     41.052537
           71         432         512     40.350785
           72         432         512     39.649033
           73         432         512     38.947280
           74         432         512     38.245528
           75         432         512     37.543776
           76         432         512     36.842024
           77         432         512     36.140271
           78         450         512     35.438519
           79         450         512     34.736767
           80         450         512     34.035014
           81         450         512     33.333262
           82         450         512     32.631509
           83         480         512     31.929757
           84         480         512     31.228004
           85         480         512     30.526252
           86         480         512     29.824499
           87         480         512     29.122746
           88         480         512     28.420994
           89         480         512     27.719241
           90         480         512     27.017488
           91         480         512     26.315736
           92         480         512     25.613983
           93         486         512     24.912230
           94         486         512     24.210477
           95         486         512     23.508725
           96         500         512     22.806972
           97         500         512     22.105219
           98         500         512     21.403466
           99         500         512     20.701713
          100         500         512     19.999960
          101         500         512     19.298207
          102         500         512     18.596455
          103         512         512     17.894702
          104         512         512     17.192949
          105         512         512     16.491196
          106         512         512     15.789443
          107         512         512     15.087690
          108         512         512     14.385937
          109         512         512     13.684184
          110         512         512     12.982431
          111         512         512     12.280678
          112         512         512     11.578925
          113         512         512     10.877172
          114         512         512     10.175419
          115         512         512      9.473666
