        latitude   reduced     regular  latitude
         number     points      points
        -------    -------     -------  --------
            1          20         128   87.86379
            2          27         128   85.09652
            3          36         128   82.31291
            4          40         128   79.52560
            5          45         128   76.73689
            6          50         128   73.94751
            7          60         128   71.15775
            8          64         128   68.36775
            9          72         128   65.57760
           10          75         128   62.78735
           11          80         128   59.99702
           12          90         128   57.20663
           13          90         128   54.41619
           14          96         128   51.62573
           15         100         128   48.83524
           16         108         128   46.04472
           17         108         128   43.25419
           18         120         128   40.46364
           19         120         128   37.67308
           20         120         128   34.88252
           21         128         128   32.09194
           22         128         128   29.30135
           23         128         128   26.51076
           24         128         128   23.72017
           25         128         128   20.92957
           26         128         128   18.13897
           27         128         128   15.34836
           28         128         128   12.55775
           29         128         128    9.76714
           30         128         128    6.97653
           31         128         128    4.18592
           32         128         128    1.39530
           33         128         128   -1.39530
           34         128         128   -4.18592
           35         128         128   -6.97653
           36         128         128   -9.76714
           37         128         128  -12.55775
           38         128         128  -15.34836
           39         128         128  -18.13897
           40         128         128  -20.92957
           41         128         128  -23.72017
           42         128         128  -26.51076
           43         128         128  -29.30135
           44         128         128  -32.09194
           45         120         128  -34.88252
           46         120         128  -37.67308
           47         120         128  -40.46364
           48         108         128  -43.25419
           49         108         128  -46.04472
           50         100         128  -48.83524
           51          96         128  -51.62573
           52          90         128  -54.41619
           53          90         128  -57.20663
           54          80         128  -59.99702
           55          75         128  -62.78735
           56          72         128  -65.57760
           57          64         128  -68.36775
           58          60         128  -71.15775
           59          50         128  -73.94751
           60          45         128  -76.73689
           61          40         128  -79.52560
           62          36         128  -82.31291
           63          27         128  -85.09652
           64          20         128  -87.86379
