        latitude   reduced     regular   latitude
         number     points      points
        -------    -------     -------   ----------
            1          20         192     88.572169
            2          25         192     86.722531
            3          36         192     84.861970
            4          40         192     82.998942
            5          45         192     81.134977
            6          50         192     79.270559
            7          60         192     77.405888
            8          60         192     75.541061
            9          72         192     73.676132
           10          75         192     71.811132
           11          80         192     69.946081
           12          90         192     68.080991
           13          96         192     66.215872
           14         100         192     64.350730
           15         108         192     62.485571
           16         120         192     60.620396
           17         120         192     58.755209
           18         120         192     56.890013
           19         128         192     55.024808
           20         135         192     53.159595
           21         144         192     51.294377
           22         144         192     49.429154
           23         160         192     47.563926
           24         160         192     45.698694
           25         160         192     43.833459
           26         160         192     41.968220
           27         160         192     40.102979
           28         180         192     38.237736
           29         180         192     36.372491
           30         180         192     34.507243
           31         180         192     32.641994
           32         180         192     30.776744
           33         192         192     28.911492
           34         192         192     27.046239
           35         192         192     25.180986
           36         192         192     23.315731
           37         192         192     21.450475
           38         192         192     19.585219
           39         192         192     17.719962
           40         192         192     15.854704
           41         192         192     13.989446
           42         192         192     12.124187
           43         192         192     10.258928
           44         192         192      8.393669
           45         192         192      6.528409
           46         192         192      4.663150
           47         192         192      2.797890
           48         192         192      0.932630
           49         192         192     -0.932630
           50         192         192     -2.797890
           51         192         192     -4.663150
           52         192         192     -6.528409
           53         192         192     -8.393669
           54         192         192    -10.258928
           55         192         192    -12.124187
           56         192         192    -13.989446
           57         192         192    -15.854704
           58         192         192    -17.719962
           59         192         192    -19.585219
           60         192         192    -21.450475
           61         192         192    -23.315731
           62         192         192    -25.180986
           63         192         192    -27.046239
           64         192         192    -28.911492
           65         180         192    -30.776744
           66         180         192    -32.641994
           67         180         192    -34.507243
           68         180         192    -36.372491
           69         180         192    -38.237736
           70         160         192    -40.102979
           71         160         192    -41.968220
           72         160         192    -43.833459
           73         160         192    -45.698694
           74         160         192    -47.563926
           75         144         192    -49.429154
           75         144         192    -49.429154
           76         144         192    -51.294377
           77         135         192    -53.159595
           78         128         192    -55.024808
           79         120         192    -56.890013
           80         120         192    -58.755209
           81         120         192    -60.620396
           82         108         192    -62.485571
           83         100         192    -64.350730
           84          96         192    -66.215872
           85          90         192    -68.080991
           86          80         192    -69.946081
           87          75         192    -71.811132
           88          72         192    -73.676132
           89          60         192    -75.541061
           90          60         192    -77.405888
           91          50         192    -79.270559
           92          45         192    -81.134977
           93          40         192    -82.998942
           94          36         192    -84.861970
           95          25         192    -86.722531
           96          20         192    -88.572169
